"","","","","","#A011000","#A0110001","#A0110002","#A01101","#A01201","#A01202","#A0191001","#A0191002","#A0191003","#A0191004","#A0191005","#A0191006","#A02101","#A02102","#A02103","#A02104","#A03401","#A03402","#A03403","#A03404","#A03501","#A03502","#A03503","#A05101","#A05201","#A05202","#A05203","#A05204","#A0520401","#A0520402","#A05205","#A05218","#A05301","#A05302","#A05303","#A05307","#A05308","#A05309","#A06601","#A06602"
"調査年 コード","調査年","地域 コード","地域","/Ａ　人口・世帯","#A011000_総人口【万人】","#A0110001_総人口（男）【万人】","#A0110002_総人口（女）【万人】","#A01101_全国総人口に占める人口割合【％】","#A01201_総面積１km2当たり人口密度【人】","#A01202_可住地面積１km2当たり人口密度【人】","#A0191001_将来推計人口（2020年）【人】","#A0191002_将来推計人口（2025年）【人】","#A0191003_将来推計人口（2030年）【人】","#A0191004_将来推計人口（2035年）【人】","#A0191005_将来推計人口（2040年）【人】","#A0191006_将来推計人口（2045年）【人】","#A02101_人口性比（総数）【‐】","#A02102_人口性比（15歳未満人口）【‐】","#A02103_人口性比（15～64歳人口）【‐】","#A02104_人口性比（65歳以上人口）【‐】","#A03401_年少人口指数【‐】","#A03402_老年人口指数【‐】","#A03403_従属人口指数【‐】","#A03404_老年化指数【‐】","#A03501_15歳未満人口割合【％】","#A03502_15～64歳人口割合【％】","#A03503_65歳以上人口割合【％】","#A05101_人口増減率【％】","#A05201_自然増減率【％】","#A05202_粗出生率（人口千人当たり）【‐】","#A05203_合計特殊出生率【‐】","#A05204_粗死亡率（人口千人当たり）【‐】","#A0520401_粗死亡率（男）（人口千人当たり）【‐】","#A0520402_粗死亡率（女）（人口千人当たり）【‐】","#A05205_年齢別死亡率（0～4歳）（人口千人当たり）【‐】","#A05218_年齢別死亡率（65歳以上）（人口千人当たり）【‐】","#A05301_転入超過率（日本人移動者）【％】","#A05302_転入率（日本人移動者）【％】","#A05303_転出率（日本人移動者）【％】","#A05307_転入超過率（外国人含む）【％】","#A05308_転入率（外国人含む）【％】","#A05309_転出率（外国人含む）【％】","#A06601_婚姻率（人口千人当たり）【‐】","#A06602_離婚率（人口千人当たり）【‐】"
"2017100000","2017年度","33000","岡山県","","191","92","99","1.51","268.1","859.5","1,889,729","1,846,230","1,796,872","1,741,517","1,681,383","1,620,031","92.4","105.9","99.8","75.0","22.2","51.7","73.8","233.3","12.8","57.5","29.7","-0.42","-0.35","7.82","1.54","11.33","11.75","10.94","0.41","35.02","-0.11","1.44","1.56","-0.17","1.56","1.73","4.63","1.70"
"2017100000","2017年度","34000","広島県","","283","137","146","2.23","333.6","1,224.1","2,814,088","2,758,220","2,689,284","2,609,116","2,520,520","2,428,818","94.2","104.4","102.6","75.5","22.3","49.0","71.2","219.8","13.0","58.4","28.6","-0.28","-0.31","7.83","1.56","10.89","11.26","10.53","0.54","34.69","-0.11","1.62","1.73","-0.20","1.72","1.92","4.66","1.63"
"2017100000","2017年度","35000","山口県","","138","66","73","1.09","226.3","810.2","1,352,379","1,292,809","1,230,324","1,165,692","1,099,619","1,035,661","90.1","105.0","100.0","71.7","21.7","61.0","82.7","281.7","11.9","54.7","33.4","-0.79","-0.67","6.84","1.57","13.53","14.19","12.96","0.92","37.34","-0.30","1.53","1.83","-0.26","1.64","1.90","4.11","1.59"
"2017100000","2017年度","36000","徳島県","","74","35","39","0.59","179.2","735.4","723,087","687,680","651,234","613,686","574,474","535,370","91.0","107.3","98.6","74.6","20.3","57.7","78.0","283.5","11.4","56.2","32.4","-0.93","-0.68","6.97","1.51","13.74","14.24","13.28","0.58","38.93","-0.27","1.23","1.50","-0.30","1.32","1.62","4.02","1.57"
"2017100000","2017年度","37000","香川県","","97","47","50","0.76","515.2","961.6","951,400","921,343","888,509","853,054","814,677","776,478","94.0","105.1","102.2","77.1","22.0","55.1","77.1","250.8","12.4","56.5","31.1","-0.51","-0.47","7.64","1.65","12.30","12.72","11.88","0.68","36.37","-0.10","1.78","1.88","-0.13","1.88","2.01","4.46","1.74"
"2017100000","2017年度","38000","愛媛県","","136","65","72","1.08","240.3","815.2","1,332,802","1,274,128","1,212,388","1,148,113","1,080,610","1,012,995","89.7","105.0","97.9","72.0","21.5","57.3","78.9","266.5","12.1","55.9","32.1","-0.80","-0.63","7.02","1.54","13.30","13.98","12.70","0.34","37.93","-0.24","1.25","1.49","-0.24","1.33","1.57","4.14","1.70"
"2017100000","2017年度","39000","高知県","","71","34","38","0.56","100.5","613.9","691,090","652,757","614,449","575,728","536,443","498,460","89.1","105.1","99.0","71.3","20.6","62.7","83.3","305.0","11.3","54.5","34.2","-0.97","-0.74","6.77","1.56","14.22","14.64","13.87","0.52","38.36","-0.30","1.26","1.55","-0.29","1.31","1.61","4.02","1.78"
"2017100000","2017年度","40000","福岡県","","511","242","269","4.03","1,024.2","1,849.3","5,097,530","5,042,774","4,955,295","4,841,878","4,704,812","4,554,486","89.7","105.2","95.9","71.5","22.1","45.4","67.6","205.0","13.2","59.7","27.1","0.06","-0.18","8.51","1.51","10.29","10.90","9.73","0.54","34.00","0.13","1.94","1.82","0.05","2.03","1.98","5.07","1.88"
"2017100000","2017年度","41000","佐賀県","","82","39","43","0.65","337.6","616.9","810,484","784,789","757,242","728,170","696,815","663,781","89.6","105.5","97.1","71.4","24.0","51.0","74.9","212.4","13.7","57.1","29.2","-0.48","-0.39","8.18","1.64","12.10","12.36","11.90","0.40","37.70","-0.25","1.85","2.11","-0.25","1.96","2.21","4.42","1.56"
"2017100000","2017年度","42000","長崎県","","135","64","72","1.07","327.8","808.4","1,320,596","1,257,939","1,192,223","1,124,291","1,053,851","982,200","88.6","106.0","96.1","71.0","22.9","56.0","78.9","245.1","12.8","55.9","31.3","-0.95","-0.51","7.80","1.70","12.94","13.32","12.60","0.63","37.52","-0.43","1.66","2.09","-0.48","1.72","2.20","4.31","1.54"
"2017100000","2017年度","43000","熊本県","","177","83","93","1.39","238.2","631.2","1,742,273","1,691,314","1,635,901","1,576,825","1,511,793","1,442,442","89.3","105.2","96.1","72.1","23.7","53.2","77.0","224.1","13.4","56.5","30.1","-0.51","-0.39","8.30","1.67","12.23","12.37","12.09","0.44","37.23","-0.22","1.54","1.76","-0.19","1.65","1.85","4.47","1.62"
"2017100000","2017年度","44000","大分県","","115","55","61","0.91","181.7","640.4","1,130,771","1,089,084","1,044,038","996,732","946,917","896,653","90.0","104.3","98.5","72.3","22.3","57.2","79.4","256.6","12.4","55.8","31.8","-0.69","-0.50","7.52","1.62","12.50","12.97","12.05","0.47","36.05","-0.25","1.50","1.75","-0.24","1.62","1.86","4.36","1.69"
"2017100000","2017年度","45000","宮崎県","","109","51","58","0.86","140.8","588.7","1,066,719","1,023,170","976,626","928,034","876,863","824,806","88.7","105.6","95.2","73.0","24.2","56.0","80.1","231.5","13.4","55.5","31.1","-0.64","-0.45","8.08","1.73","12.63","13.35","11.98","0.37","36.96","-0.30","1.63","1.93","-0.26","1.73","1.99","4.30","1.96"
"2017100000","2017年度","46000","鹿児島県","","163","76","86","1.28","177.0","490.8","1,583,263","1,510,970","1,436,753","1,361,575","1,284,036","1,204,146","88.4","105.7","94.2","72.8","23.9","55.2","79.2","230.9","13.4","55.8","30.8","-0.67","-0.53","8.12","1.69","13.43","13.96","12.96","0.56","39.81","-0.29","1.56","1.85","-0.24","1.64","1.89","4.39","1.70"
"2017100000","2017年度","47000","沖縄県","","144","71","73","1.14","632.6","1,234.4","1,459,570","1,468,236","1,469,847","1,465,761","1,452,321","1,428,305","96.6","104.1","100.7","80.4","27.7","33.9","61.6","122.7","17.1","61.9","21.0","0.28","0.30","11.24","1.94","8.28","9.05","7.53","0.60","33.10","-0.08","1.71","1.79","-0.09","1.80","1.89","5.60","2.41"
